"site_reach","site","field_date","sample_type","anabaena_and_cylindrospermum","ankistrodesmus","aphanothece","calothrix","chantransia","chroococcus","cladophora","closterium","coelastrum","cosmarium","desmodesmus_spines","epithemia","euglenoid","geitlerinema","gloeocystis","gloeotrichia","homoeothrix","lacunastrum","leptolyngbya","lyngbya","microcoleus","mougeotia","non_algal","non_e_r_diatoms","nostoc","oedogonium","oocystis","oscillatoria","other_coccoids","pediastrum","phormidium_unknown","rhopalodia","rivularia","scenedesmus_no_spines","scytonema","spirogyra","stauridium","stigeoclonium","tetraedron","tolypothrix","ulothrix","unknown","unknown_green_algae","zygnema","pH","temp_C","DO_mg_L","cond_uS_cm","oPhos_ug_P_L","nitrate_mg_N_L","ammonium_mg_N_L","assumed_pH","TDC_mg_L","DOC_mg_L","Cl_mg_L","SO4_mg_L","Br_mg_L","Na_mg_L","K_mg_L","Mg_mg_L","Ca_mg_L","TM_ATX_all_ug_chla_ug","TM_ATX_all_ug_orgmat_g","TAC_ATX_all_ug_chla_ug","TAC_ATX_all_ug_orgmat_g"
"SAL-2","SAL","2023-07-13","NT",0,0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0,0,0,0,0,0,3,0,9.33333333333333,0,36.6,14.3333333333333,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,36.3,0,0,0,7.93,19.3,8.99,99.3,4.825,0.0115,0.0045,7.93,5.5215,0.821,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"SAL-2","SAL","2023-07-27","NT",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0,0,0,0,1.33333333333333,0,2.33333333333333,0,93.1666666666667,2.33333333333333,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,7.95,20.6,8.45,108.9,4.98,0.012,0.00096,7.95,6.798,0.632,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"SAL-2","SAL","2023-08-10","NT",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0,0,0.0333333333333333,0,3,0,58.8,0,33.6666666666667,4.33333333333333,0,0,0,0,0.1,0,0,0,0,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,7.92,20.9,8.32,126.6,5.906,0.011,0.00097,7.92,7.558,0.614,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"SAL-3","SAL","2022-06-27","NT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.0333333333333333,0,0,0,98.4,1.03333333333333,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.0333333333333333,0,0,0,0,0,0,NA,20.49,9.492,NA,7.795,0.031,0.00797,8.11,8.974,2.688,0.9,3.44,0.06,2.24,0.65,3.05,16.22,NA,NA,NA,NA
"SAL-3","SAL","2022-07-12","NT",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.03333333333333,0,2.36666666666667,0,0.333333333333333,0,87.2,3,0,0,0,0,0.7,0,0,0,0,0.0333333333333333,0,0,0,1.33333333333333,0,0,0,0,0,0,NA,22.59,9.087,113.3,6.9675,0.019,0.01374,8.11,10.72,2.31,1.11,3.64,0.05,2.46,0.74,3.58,13.34,0,0,NA,NA
"SAL-3","SAL","2022-07-26","NT",0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0.0333333333333333,0,0,0,0,2.66666666666667,0,2,0,0.666666666666667,0,89.4333333333333,4,0,0,0,0,0.1,0,0,0,0,0.0333333333333333,0,0,0,1.03333333333333,0,0,0,0,0,0,NA,22.13,9.215,121.5,5.63,0.008,0.00792,8.11,12.95,0.5312,1.37,3.69,0.005,2.78,0.81,3.84,15.87,0,0,NA,NA
"SAL-3","SAL","2022-09-22","NT",0.0666666666666667,0,0,0,0.333333333333333,0.0666666666666667,0,0,0,0,0,6.33333333333333,0,3,0.0666666666666667,0,0.666666666666667,0,1.33333333333333,0,0.366666666666667,15.6666666666667,12.3333333333333,14,0,1.66666666666667,0,0,1,0,0.0333333333333333,5,0,0.0333333333333333,0,37.9666666666667,0.0333333333333333,0,0,0,0,0,0.0333333333333333,0,8.11,17.33,NA,123.3,5.684,0.0135,0.01223,8.11,9.778,0.48925,1.775,3.455,0.045,2.615,0.69,3.535,13.75,NA,NA,0,0
"SAL-3","SAL","2023-06-28","NT",0,0,0,0,0,0,0,0,0,0,0,0,0,0.366666666666667,0,0,0.0333333333333333,0,2,0.0333333333333333,0.0333333333333333,0,89.1,8.33333333333333,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.12,17.4,9.02,83.1,5.178,0.018,0.00096,8.12,3.903,0.619,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"SAL-3","SAL","2023-07-13","NT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33333333333333,0,0,0,95.2333333333333,3.33333333333333,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.01,19.9,9.01,99.2,5.0375,0.012,0.00423,8.01,6.858,0.962,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"SAL-3","SAL","2023-07-27","NT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0,0.666666666666667,0,2,0,95.1666666666667,2,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.0333333333333333,0,0,0,0,0,0,7.94,21.6,7.99,109.5,4.841,0.0135,0.00226,7.94,6.492,1.4915,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"SAL-3","SAL","2023-08-10","NT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.7,0,96.7333333333333,2.33333333333333,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.0333333333333333,0,0,0,0,0,0,7.75,22,8.33,127.8,6.048,0.011,0.004485,7.75,8.488,0.437,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"SFE-M-1S","SFE-M","2022-06-29","NT",2,0,0,0,0,0,19.5,0,0.275,0,0,1.25,0,1,0,0,0.025,0,0.25,0,19.1,0,3.25,5.75,43.45,0.5,0,0,3.25,0,0,0,0,0.375,0,0,0,0,0,0,0,0.025,0,0,NA,20.33,8.374,NA,5.8015,0.011,0.00731,8.9,17.54,3.287,5.39,9.76,0.07,8.56,0.88,9.76,9.75,0,0,NA,NA
"SFE-M-1S","SFE-M","2022-07-14","NT",3.42,0.02,0,0.02,0,0,26.44,0,0,0,0.4,5,0,2,0,0,0.64,0.04,0.26,0,0.02,0.82,3.8,5,41.1,0,0,0,2,0,0,0.82,0,0.4,0,7.8,0,0,0,0,0,0,0,0,NA,21.71,9.507,223.3,5.353,0.017,0.00463,8.9,16.17,0.7605,6.04,10.78,0.1,9.37,0.93,9.77,18.02,0,0,0.0002415,2.0375685
