"site_reach","site","field_date","sample_type","aphanothece","calothrix","chroococcus","e_diatoms","geitlerinema","gloeotrichia","green_algae","homoeothrix","leptolyngbya","lyngbya","microcoleus","nodularia","non_e_diatoms","nostoc","oscillatoria","other_coccoids","phormidium_unknown","rivularia","scytonema","tolypothrix","unknown","pH","temp_C","DO_mg_L","cond_uS_cm","oPhos_ug_P_L","nitrate_mg_N_L","ammonium_mg_N_L","assumed_pH","TDC_mg_L","DOC_mg_L","Cl_mg_L","SO4_mg_L","Br_mg_L","Na_mg_L","K_mg_L","Mg_mg_L","Ca_mg_L","ATXa_ug_g","dhATXa_ug_g","HTXa_ug_g","ATX_all_ug_g","Chla_ug_g","Pheo_ug_g","percent_organic_matter","ATX_all_ug_chla_ug","ATX_all_ug_orgmat_g"
"SFE-M-3","SFE-M","2022-08-23","TAC",0,0,0,11.587982832618,4.29184549356223,0,68.068669527897,0,0,0,0.128755364806867,0.0429184549356223,10.7296137339056,0,0,5.15021459227467,0,0,0,0,0,8.62,24.71,9.626,248.4,3.8,0.018,0.00769,8.62,19.07,0.6235,7.58,11.34,0.1,10.45,1.12,10.78,16.43,0.601,0.178,0,0.779,4303.94992427735,804.286940468409,45.87,0.000181,1.6982777
"SFE-M-3","SFE-M","2023-07-24","TAC",0,0,0,24.0223463687151,7.82122905027933,0,31.8435754189944,0,0,0,0,0,12.8491620111732,8.37988826815642,0,11.731843575419,0,3.35195530726257,0,0,0,8.63,24.5,9.95,209,3.382,0.056,0.00364,8.63,9.382,0.993,NA,NA,NA,NA,NA,NA,NA,0.026,0.062,0,0.088,3245.49982177815,158.225334926424,31.54,2.71e-05,0.2790108
"SFE-M-3","SFE-M","2023-07-31","TAC",0,0.0561167227833895,3.92817059483726,21.324354657688,3.36700336700337,0,31.4253647586981,0.561167227833895,5.61167227833895,0,11.2233445566779,0,10.1010101010101,7.29517396184063,0,5.05050505050505,0.0561167227833895,0,0,0,0,8.39,23.6,9.17,210,4.187,0.013,0.00408,8.39,7.923,0.643,NA,NA,NA,NA,NA,NA,NA,0.588,0.175,0,0.763,4580.97755300251,569.595576901292,41.85,0.0001666,1.823178
"SFE-M-3","SFE-M","2023-08-07","TAC",0,0,0,22.6789510985117,0,0,31.892274982282,0,0,0,4.25230333097095,0.0708717221828491,18.4266477675408,13.4656272147413,0,9.21332388377037,0,0,0,0,0,8.23,24.3,8.77,234,4.8325,0.015,0.005995,8.23,11.76,0.8365,NA,NA,NA,NA,NA,NA,NA,4.13,0.683,0,4.813,3564.79780752344,384.769887305765,45.08,0.0013501,10.676575
"SFE-M-3","SFE-M","2023-08-14","TAC",0,0.106100795755968,0,22.2811671087533,9.54907161803713,0,21.7506631299735,0,0,0,8.48806366047745,0.0530503978779841,14.8541114058355,2.6525198938992,0.106100795755968,20.159151193634,0,0,0,0,0,8.18,27.2,7.82,246,4.7255,0.019,0.005585,8.18,12.365,0.8565,NA,NA,NA,NA,NA,NA,NA,21.7983,3.049,0,24.8473,6892.18324177824,879.039765130655,56.784,0.0036051,43.7575726
"SFE-M-3","SFE-M","2023-08-22","TAC",0,0,0,29.1744258224706,11.1731843575419,0,18.6219739292366,0,0,0,16.1390440720049,0.0620732464307883,16.1390440720049,0,0,8.69025450031036,0,0,0,0,0,8.02,23.5,7.94,262,4.687,0.026,0.00095,8.02,10.49,0.66,NA,NA,NA,NA,NA,NA,NA,13.9683,3.126,0,17.0943,5182.57956257919,565.309486831045,43.417,0.0032984,39.3723657
"SFE-M-3","SFE-M","2023-08-28","TAC",0,0,0,23.6686390532545,18.3431952662721,0,19.5266272189349,0,0,0,8.28402366863905,0,15.3846153846154,2.95857988165681,0,11.8343195266272,0,0,0,0,0,8.12,23.3,8.09,259,4.956,0.025,0.00515,8.12,12.11,1.091,NA,NA,NA,NA,NA,NA,NA,0.463,0.153,0,0.616,2862.46508679674,394.472416101105,38.11,0.0002152,1.6163737
"SFE-M-4","SFE-M","2022-07-14","TAC",0,0,0,10.8333333333333,3.33333333333333,0,73.25,0,0,0,0.0416666666666667,0.0416666666666667,9.58333333333333,0,0,2.91666666666666,0,0,0,0,0,NA,25.72,11.059,236.2,6.021,0.017,0.00447,9.14,18.16,0.7703,6.16,10.64,0.1,9.38,0.95,9.77,15.73,0.228,0,0,0.228,2793.42850439403,1126.91458205527,36.87,8.16e-05,0.6183889
"SFE-M-4","SFE-M","2022-07-28","TAC",0,0,0,19.7674418604651,6.97674418604651,0,42.9651162790698,0,0,0,1.74418604651163,0,18.0232558139535,0,0.058139534883721,10.4651162790698,0,0,0,0,0,9.14,28.48,9.673,218.7,3.503,0.005,0.00338,9.14,18.47,1.037,6.64,10.84,0.09,9.65,0.98,9.17,14.51,4.5993,0.782,0,5.3813,7736.04558314054,1349.27478259642,48.31,0.0006956,11.1391016
"SFE-M-4","SFE-M","2022-08-10","TAC",0,0,0,15.3439153439154,12.1693121693122,0,38.6243386243386,0,0.529100529100528,0,9.52380952380951,0,14.2857142857143,0,0,9.52380952380951,0,0,0,0,0,8.92,27.1,11.405,239.4,3.996,0.027,0.009035,8.92,15.7,0.6784,7.09,10.95,0.09,10.14,1.06,10.25,14.93,32.582,11.15,0,43.732,3005.42385066444,1040.92706012453,45.61,0.014551,95.8824819
"SFE-M-4","SFE-M","2023-07-10","TAC",0,0,0,26.2605042016807,10.5042016806723,0,18.9075630252101,0,0,0,0.210084033613445,0,30.4621848739496,0,0,13.6554621848739,0,0,0,0,0,8.49,25,9.33,223,4.917,0.011,0.00085,8.49,12.2,0.458,NA,NA,NA,NA,NA,NA,NA,0.042,0,0,0.042,2607.45120651379,216.386886404271,67.12,1.61e-05,0.0625745
"SFE-M-4","SFE-M","2023-07-17","TAC",0,0,0,34.4827586206896,8.62068965517242,0,15.5172413793104,0,0,0,0,0,25.0000000000001,0,0,16.3793103448276,0,0,0,0,0,8.54,26.2,9.74,218,4.547,0.009,0.001435,8.54,11.76,0.621,NA,NA,NA,NA,NA,NA,NA,0.015,0,0,0.015,3383.52174444982,480.88573674453,41.35,4.4e-06,0.0362757
