"site","site_reach","field_date","sample_type","anabaena_and_cylindrospermum","aphanothece","calothrix","chroococcus","e_diatoms","geitlerinema","gloeotrichia","green_algae","homoeothrix","leptolyngbya","lyngbya","nodularia","non_e_diatoms","nostoc","oscillatoria","other_coccoids","phormidium_unknown","rivularia","scytonema","tolypothrix","unknown"
"SFE-M","SFE-M-3","2022-08-10","TM",10.7142857142857,0,0,0,25,7.14285714285714,0,28.5714285714286,0,0,0,0,10.7142857142857,0,0,17.8571428571429,0,0,0,0,0
"SFE-M","SFE-M-3","2022-08-23","TM",0,0,0,0,33.3333333333333,6.66666666666667,0,33.3333333333333,0,0,0,0,20,0,0,6.66666666666667,0,0,0,0,0
"SFE-M","SFE-M-3","2022-09-06","TM",0,0,0,0,18.75,6.24999999999998,0,50,0,0,0,0,12.5,0,0,12.5,0,0,0,0,0
"SFE-M","SFE-M-3","2022-09-17","TM",0,0,0,0,26.3157894736842,15.7894736842105,0,21.0526315789474,0,0,0,0,26.3157894736842,0,0,10.5263157894737,0,0,0,0,0
"SFE-M","SFE-M-4","2022-06-29","TM",0,0,0,0,11.3636363636364,0,0,11.3636363636364,0,0,0,0,25.0000000000001,45.4545454545454,0,6.81818181818182,0,0,0,0,0
"SFE-M","SFE-M-4","2022-08-10","TM",16.6112956810631,0,0,0,41.5282392026579,8.30564784053155,0,11.6279069767442,0,8.30564784053155,0.166112956810631,0,6.64451827242525,1.66112956810631,0.166112956810631,4.98338870431894,0,0,0,0,0
"SAL","SAL-1S","2023-08-10","TM",0,0,0,0,1.96078431372548,0,0,0,0,0,0,0,78.4313725490197,0,0,19.6078431372548,0,0,0,0,0
"SAL","SAL-2","2023-08-10","TM",0,0,0,0,0,0,0,14.2857142857143,0,0,0,0,57.1428571428571,0,0,28.5714285714286,0,0,0,0,0
"SAL","SAL-3","2023-08-10","TM",0,0,0,0,9.52380952380954,0,0,71.4285714285714,0,0,0,0,14.2857142857143,0,0,4.76190476190477,0,0,0,0,0
"SFE-M","SFE-M-1S","2023-08-14","TM",4.739336492891,0,0,0,9.47867298578196,0,0,47.39336492891,0,0,0,0,14.218009478673,0,0.4739336492891,23.6966824644549,0,0,0,0,0
"SFE-M","SFE-M-1S","2023-08-22","TM",0,0,0,0,9.52380952380954,0,0,71.4285714285714,0,0,0,0,4.76190476190477,0,0,14.2857142857143,0,0,0,0,0
"SFE-M","SFE-M-1S","2023-08-28","TM",0,0,0,0,0,10,0,50,0,0,0,0,20,0,0,20,0,0,0,0,0
"SFE-M","SFE-M-1S","2023-09-04","TM",0.709219858156028,0,0,0,7.09219858156028,0,0,42.5531914893617,0,0,0,0,35.4609929078014,0,0,14.1843971631206,0,0,0,0,0
"SFE-M","SFE-M-1S","2023-09-12","TM",0.284900284900285,0,0,0,5.69800569800571,0,28.4900284900285,51.2820512820512,0,0,0,0,8.54700854700856,0,0,5.69800569800571,0,0,0,0,0
"SFE-M","SFE-M-1S","2023-09-18","TM",0.33112582781457,0,0,0,19.8675496688742,0.33112582781457,0,49.6688741721854,0,0,0,0,13.2450331125828,0,0,16.5562913907285,0,0,0,0,0
"SFE-M","SFE-M-1S","2023-09-24","TM",0.473933649289099,0,0,0,33.175355450237,0,0,42.6540284360188,0,0,0,0,14.218009478673,0,0,9.47867298578202,0,0,0,0,0
"SFE-M","SFE-M-2","2023-08-14","TM",0.355871886120997,0,0,0,7.11743772241994,0,0,35.5871886120997,0,0,0,0,53.3807829181494,0,0,3.55871886120997,0,0,0,0,0
"SFE-M","SFE-M-2","2023-08-22","TM",26.6666666666666,0,0,0,13.3333333333333,6.66666666666667,0,13.3333333333333,0,0,0,0,20,0,0,20,0,0,0,0,0
"SFE-M","SFE-M-2","2023-08-28","TM",0,0,0,0,20,0,0,39.9999999999999,0,0,0,0,20,0,0,20,0,0,0,0,0
"SFE-M","SFE-M-2","2023-09-04","TM",0,0,0,0,0,0,0,20,0,0,0,0,60,0,0,20,0,0,0,0,0
"SFE-M","SFE-M-2","2023-09-12","TM",0.892857142857144,0,0,0,8.92857142857144,0.892857142857144,0,62.5,0,0,0,0,17.8571428571429,0,0,8.92857142857144,0,0,0,0,0
"SFE-M","SFE-M-2","2023-09-18","TM",0,0,0,0,12.5,0,0,37.5,0,0,0,0,25,0,0,25,0,0,0,0,0
"SFE-M","SFE-M-2","2023-09-24","TM",0.699300699300698,0,0,0,0.699300699300698,0,0,34.965034965035,0,0,0,0,55.9440559440559,0,0,6.99300699300698,0,0,0,0,0.699300699300698
"SFE-M","SFE-M-3","2023-08-14","TM",0.4739336492891,0,0,0,47.39336492891,0,0,37.9146919431279,0,0,0,0,9.47867298578199,0,0,4.739336492891,0,0,0,0,0
