"site","site_reach","field_date","sample_type","aphanothece","calothrix","chroococcus","e_diatoms","geitlerinema","gloeotrichia","homoeothrix","leptolyngbya","lyngbya","microcoleus","nodularia","non_e_diatoms","nostoc","oscillatoria","other_coccoids","phormidium_unknown","rivularia","scytonema","tolypothrix","unknown"
"SFE-M","SFE-M-3","2023-08-14","TAC",0,0.135593220338983,0,28.4745762711864,12.2033898305085,0,0,0,0,10.8474576271186,0.0677966101694915,18.9830508474576,3.38983050847458,0.135593220338983,25.7627118644068,0,0,0,0,0
"SFE-M","SFE-M-3","2023-08-22","TAC",0,0,0,35.8504958047293,13.7299771167048,0,0,0,0,19.8321891685736,0.0762776506483601,19.8321891685736,0,0,10.6788710907704,0,0,0,0,0
"SFE-M","SFE-M-3","2023-08-28","TAC",0,0,0,29.4117647058824,22.7941176470588,0,0,0,0,10.2941176470588,0,19.1176470588235,3.6764705882353,0,14.7058823529412,0,0,0,0,0
"SFE-M","SFE-M-4","2022-07-14","TAC",0,0,0,40.4984423676013,12.4610591900312,0,0,0,0,0.155763239875389,0.155763239875389,35.8255451713396,0,0,10.9034267912773,0,0,0,0,0
"SFE-M","SFE-M-4","2022-07-28","TAC",0,0,0,34.6585117227318,12.2324159021407,0,0,0,0,3.05810397553517,0,31.6004077471968,0,0.101936799184506,18.348623853211,0,0,0,0,0
"SFE-M","SFE-M-4","2022-08-10","TAC",0,0,0,25,19.8275862068965,0,0,0.86206896551724,0,15.5172413793103,0,23.2758620689655,0,0,15.5172413793103,0,0,0,0,0
"SFE-M","SFE-M-4","2023-07-10","TAC",0,0,0,32.3834196891192,12.9533678756477,0,0,0,0,0.259067357512953,0,37.5647668393783,0,0,16.839378238342,0,0,0,0,0
"SFE-M","SFE-M-4","2023-07-17","TAC",0,0,0,40.8163265306122,10.2040816326531,0,0,0,0,0,0,29.5918367346939,0,0,19.3877551020408,0,0,0,0,0
"SFE-M","SFE-M-4","2023-07-24","TAC",0,0.0977517106549365,0,42.0332355816227,21.505376344086,0,0,0,0.0977517106549365,0.0977517106549365,0,20.5278592375367,0,0,15.6402737047898,0,0,0,0,0
"SFE-M","SFE-M-4","2023-07-31","TAC",0,6.91307323750857,1.36892539356605,43.8056125941136,4.79123887748118,0,0,4.79123887748118,0,13.0047912388775,0,15.7426420260096,0,0,6.84462696783026,0,2.73785078713209,0,0,0
"SFE-M","SFE-M-4","2023-08-07","TAC",0,0,0,28.0373831775702,18.6915887850467,0,0,0,0,13.4994807892004,0.103842159916926,29.0758047767393,0,0.207684319833853,10.3842159916926,0,0,0,0,0
"SFE-M","SFE-M-4","2023-08-14","TAC",0,0,0,32.8113348247577,11.93139448173,0,0,0,0.0745712155108127,16.4056674123788,0,17.8970917225951,0,1.49142431021625,13.4228187919463,5.96569724086503,0,0,0,0
"SFE-M","SFE-M-4","2023-08-22","TAC",0,0.0908265213442325,0,29.0644868301544,9.99091734786557,0,0,0,0,6.35785649409627,0,20.8900999091735,0,2.72479564032697,11.8074477747502,19.0735694822888,0,0,0,0
"SFE-SH","SFE-SH-1S","2023-07-24","TAC",0,0,0,32.8879753340184,11.3052415210689,0,0,0,0,0.205549845837616,0,34.9434737923947,0,0.102774922918808,10.2774922918808,0,10.2774922918808,0,0,0
"SFE-SH","SFE-SH-1S","2023-07-31","TAC",0,0.107181136120043,3.21543408360128,47.1596998928189,11.7899249732047,0,0,1.07181136120043,0,0,0.214362272240086,27.8670953912111,0,0,8.57449088960343,0,0,0,0,0
"SFE-SH","SFE-SH-1S","2023-08-07","TAC",0,0,4.26257459505541,51.1508951406649,9.37766410912191,0,0,2.55754475703325,0,0.170502983802217,0.0852514919011084,28.1329923273658,0,0,4.26257459505541,0,0,0,0,0
"SFE-SH","SFE-SH-1S","2023-08-14","TAC",0,0,0,30.6004618937645,11.5473441108545,0,0,0,0,6.9284064665127,0,16.743648960739,9.81524249422634,0.115473441108545,19.0531177829099,0,0,0,5.19630484988453,0
"SFE-SH","SFE-SH-1S","2023-08-22","TAC",0,3.83729854182656,2.30237912509593,37.6055257099003,7.67459708365311,0,0.0767459708365311,1.53491941673062,0,10.7444359171144,0,26.0936300844205,0,0.153491941673062,9.97697620874905,0,0,0,0,0
"SFE-SH","SFE-SH-1S","2023-09-18","TAC",0,0,0.124378109452736,24.8756218905473,18.6567164179104,0,0,1.24378109452736,0,14.9253731343284,0,23.6318407960199,0,0.124378109452736,16.1691542288557,0,0,0,0.248756218905473,0
"SFE-SH","SFE-SH-1S","2023-09-24","TAC",0,0,0,15.5189136760427,22.3084384093114,0,0,16.4888457807953,0,8.729388942774,0,19.3986420950534,0,0.0969932104752668,17.458777885548,0,0,0,0,0
